"Source Text","Translated Text","Context"
"Bill of Quantities","فاتورة الكميات",""
"Valuation","التقييم",""
"Variation Order","أمر التغيير",""
"Payment Certificate","شهادة الدفع",""
"Cost Plan","خطة التكلفة",""
"Tender Package","حزمة المناقصة",""
"Tender Quote","عرض المناقصة",""
"Final Account","الحساب النهائي",""
"Quantity Survey Settings","إعدادات مسح الكميات",""
"Title","العنوان",""
"Project","المشروع",""
"Status","الحالة",""
"Description","الوصف",""
"Total Amount","المبلغ الإجمالي",""
"Total Quantity","الكمية الإجمالية",""
"Rate","السعر",""
"Quantity","الكمية",""
"Amount","المبلغ",""
"Item Code","رمز الصنف",""
"Item Name","اسم الصنف",""
"UOM","وحدة القياس",""
"BoQ Items","عناصر فاتورة الكميات",""
"Valuation Items","عناصر التقييم",""
"Variation Items","عناصر التغيير",""
"Draft","مسودة",""
"Submitted","مرسل",""
"Approved","مُعتمد",""
"Cancelled","ملغي",""
"Pending","قيد الانتظار",""
"Rejected","مرفوض",""
"BoQ Summary","ملخص فاتورة الكميات",""
"Valuation Sheet","ورقة التقييم",""
"Variation Log","سجل التغييرات",""
"Cost vs Actual","التكلفة مقابل الفعلية",""
"Progress Summary","ملخص التقدم",""
"Retention Report","تقرير الاحتجاز",""
"Payment Summary","ملخص الدفعات",""
"Quantity Survey","مسح الكميات",""
"BoQ","فاتورة الكميات",""
"Unit","وحدة",""
"Total","الإجمالي",""
"Completed","مكتمل",""
"In Progress","قيد التنفيذ",""
"Addition","إضافة",""
"Omission","حذف",""
"Substitution","استبدال",""
"Current","الحالي",""
"Previous","السابق",""
"Cumulative","تراكمي",""
"This Period","هذه الفترة",""
"Retention","الاحتجاز",""
"Advance","المقدم",""
"Certified Amount","المبلغ المعتمد",""
"Net Amount","المبلغ الصافي",""
"Contract Value","قيمة العقد",""
"Work Done","العمل المنجز",""
"Materials on Site","المواد في الموقع",""
"Less Previous","أقل من السابق",""
"Gross Amount","المبلغ الإجمالي",""
"Create New","إنشاء جديد",""
"Save","حفظ",""
"Submit","إرسال",""
"Cancel","إلغاء",""
"Approve","موافقة",""
"Reject","رفض",""
"Print","طباعة",""
"Export","تصدير",""
"Import","استيراد",""
"Dashboard","لوحة المعلومات",""
"Reports","التقارير",""
"Settings","الإعدادات",""
"Help","مساعدة",""
"Profile","الملف الشخصي",""
"Home","الرئيسية",""
"Navigation","التنقل",""
"Search","بحث",""
"Filter","تصفية",""
"Sort","ترتيب",""
"View","عرض",""
"Edit","تحرير",""
"Delete","حذف",""
"Duplicate","تكرار",""
"Share","مشاركة",""
"Email","البريد الإلكتروني",""
"SMS","رسالة نصية",""
"Notification","إشعار",""
"Alert","تنبيه",""
"Warning","تحذير",""
"Error","خطأ",""
"Success","نجح",""
"Information","معلومات",""
"Loading","جاري التحميل",""
"Please wait","يرجى الانتظار",""
"Processing","جاري المعالجة",""
"Uploading","جاري الرفع",""
"Downloading","جاري التنزيل",""
"Saving","جاري الحفظ",""
"Submitting","جاري الإرسال",""
"Validating","جاري التحقق",""
"Complete","مكتمل",""
"Incomplete","غير مكتمل",""
"Required","مطلوب",""
"Optional","اختياري",""
"Invalid","غير صحيح",""
"Valid","صحيح",""
"Yes","نعم",""
"No","لا",""
"OK","موافق",""
"Confirm","تأكيد",""
"Proceed","متابعة",""
"Continue","استمرار",""
"Back","رجوع",""
"Next","التالي",""
"Previous","السابق",""
"First","الأول",""
"Last","الأخير",""
"Page","صفحة",""
"of","من",""
"Show","عرض",""
"Hide","إخفاء",""
"Expand","توسيع",""
"Collapse","طي",""
"Select","اختيار",""
"Deselect","إلغاء الاختيار",""
"Select All","اختيار الكل",""
"Clear All","مسح الكل",""
"Apply","تطبيق",""
"Reset","إعادة تعيين",""
"Clear","مسح",""
"Close","إغلاق",""
"Open","فتح",""
"Refresh","تحديث",""
"Reload","إعادة تحميل",""
"Update","تحديث",""
"Mobile App","تطبيق الهاتف المحمول",""
"Touch to measure","اللمس للقياس",""
"Swipe to navigate","التمرير للتنقل",""
"Tap to select","النقر للاختيار",""
"Hold to edit","الضغط المطول للتحرير",""
"Pinch to zoom","القرص للتكبير",""
"Offline mode","وضع عدم الاتصال",""
"Sync required","مطلوب مزامنة",""
"Data saved locally","البيانات محفوظة محلياً",""
"Upload pending","رفع قيد الانتظار",""
"Connection restored","تم استعادة الاتصال",""
"Working offline","العمل بدون اتصال",""
